r100028,r296741
r107838,r690178
r108201,r582799
r108211,r845961
r108331,r844041
r108354,r728835
r108399,r249219
r108430,r244391
r108498,r528821
r108542,r652211
r108688,r136895
r108688,r355687
r108690,r832276
r108740,r307021
r108741,r861607
r108809,r395020
r108892,r195076
r108896,r377209
r108896,r419040
r108896,r918944
r108976,r413419
r109070,r550974
r109079,r354552
r109080,r331411
r109150,r113870
r109248,r819489
r109251,r238178
r109257,r114165
r109342,r785015
r109431,r556342
r109505,r163081
r109670,r630506
r109703,r605955
r109736,r677417
r109751,r432517
r109837,r886376
r109852,r910911
r109875,r822630
r109885,r172206
r110004,r152608
r110004,r862129
r110004,r871774
r110030,r550052
r110050,r992216
r110170,r609646
r110241,r401553
r110409,r215431
r110480,r661774
r110522,r142067
r110647,r869861
r110652,r606828
r110678,r257140
r110689,r494284
r110689,r648397
r110710,r613968
r110836,r997599
r110845,r600939
r110854,r972937
r110919,r335444
r110946,r993141
r111051,r612156
r111148,r862075
r111161,r367216
r111271,r231928
r111415,r119782
r111422,r436144
r111427,r595266
r111476,r796019
r111528,r325671
r111528,r567322
r111550,r495802
r111574,r322107
r111681,r986460
r111769,r986616
r111786,r437658
r111789,r349929
r111815,r720795
r111870,r896719
r111877,r827821
r112017,r293558
r112099,r650357
r112135,r330209
r112546,r206863
r112546,r289743
r112585,r523833
r112665,r169146
r112670,r740342
r112723,r743366
r112880,r527782
r112882,r277224
r112940,r621268
r112945,r179651
r112953,r630051
r112968,r140104
r113164,r961076
r113260,r528107
r113379,r849866
r113397,r684528
r113478,r676882
r113588,r156990
r113651,r565014
r113722,r106721
r113778,r442588
r113808,r377008
r113920,r760487
r114013,r537344
r114131,r172751
r114164,r354238
r114193,r285823
r114237,r178630
r114242,r152608
r114242,r862129
r114242,r871774
r114273,r322988
r114328,r158761
r114416,r162653
r114461,r473758
r114524,r114029
r114606,r776595
r114623,r439876
r114707,r602553
r114711,r965732
r114797,r115644
r114801,r314704
r114802,r743753
r114817,r765088
r114853,r991561
r114868,r352062
r114992,r312748
r115055,r581347
r115147,r604074
r115159,r235975
r115347,r299465
r115378,r994455
r115403,r646044
r115435,r224279
r115454,r416933
r115568,r948062
r115619,r577831
r115677,r782930
r115795,r468776
r115809,r912880
r115917,r656944
r115943,r194916
r115960,r117442
r115963,r406462
r115979,r923398
r116010,r892837
r116020,r297079
r116077,r772872
r116103,r435839
r116133,r223540
r116229,r513562
r116347,r781061
r116400,r655610
r116429,r950867
r116561,r449349
r116589,r299598
r116610,r844253
r116632,r604007
r116745,r954635
r116803,r299598
r116850,r182832
r116931,r758252
r117010,r742950
r117097,r910362
r117304,r236728
r117333,r851986
r117388,r463666
r117404,r193858
r117404,r639070
r117452,r895882
r117462,r553730
r117642,r139728
r117643,r289471
r117643,r839023
r117726,r782116
r117768,r333325
r117768,r494974
r117807,r184762
r117807,r352405
r117828,r794958
r117924,r572358
r117984,r341236
r118122,r176893
r118122,r207607
r118122,r288468
r118122,r452465
r118122,r698400
r118132,r190005
r118153,r592045
r118232,r639070
r118319,r888379
r118393,r255407
r118486,r449666
r118486,r660689
r118510,r554079
r118526,r760624
r118563,r114165
r118607,r879775
r118638,r877753
r118662,r637005
r118721,r856926
r118790,r831305
r118857,r112286
r118963,r319337
r119060,r282339
r119105,r316464
r119129,r934749
r119148,r519609
r119185,r249118
r119190,r896817
r119235,r366124
r119473,r450625
r119776,r453934
r119951,r167787
r120040,r884035
r120097,r625739
r120116,r470580
r120144,r821869
r120152,r705159
r120160,r155255
r120160,r222411
r120160,r439876
r120188,r276000
r120378,r100085
r120406,r112481
r120416,r358684
r120425,r338572
r120506,r589748
r120596,r397302
r120611,r482581
r120620,r924724
r120684,r138897
r120794,r182106
r120827,r601271
r120853,r529587
r120881,r910983
r120912,r129131
r120912,r135057
r120912,r137828
r120924,r969746
r120989,r979136
r121031,r540956
r121101,r924559
r121184,r791529
r121200,r790097
r121209,r516585
r121233,r382029
r121242,r299142
r121326,r384479
r121326,r794956
r121396,r434369
r121404,r857912
r121474,r140626
r121474,r360621
r121719,r792490
r121750,r102158
r121760,r204979
r121776,r198775
r121797,r573745
r121879,r745310
r121884,r359986
r121938,r521263
r121948,r825998
r121971,r765910
r122016,r136255
r122016,r558219
r122047,r738328
r122195,r531998
r122355,r894448
r122410,r946719
r122769,r167903
r122800,r330758
r122855,r412022
r122875,r271600
r122912,r424784
r123018,r177213
r123018,r525939
r123064,r548858
r123068,r503705
r123343,r355871
r123432,r181950
r123456,r359720
r123522,r201028
r123664,r989393
r123677,r136316
r123897,r512476
r124109,r491654
r124410,r700240
r124430,r712206
r124626,r640508
r124641,r202501
r124656,r621394
r124689,r624448
r124715,r627948
r124950,r248795
r124975,r243121
r125023,r243192
r125029,r692872
r125035,r343287
r125069,r448122
r125106,r473837
r125155,r815822
r125268,r188391
r125270,r783834
r125394,r946713
r125399,r871903
r125452,r194916
r125666,r737015
r125676,r113118
r125749,r115565
r125821,r855737
r125853,r861899
r126045,r890897
r126390,r544837
r126405,r972787
r126410,r161748
r126419,r661472
r126475,r902925
r126526,r417394
r126528,r457320
r126531,r208412
r126567,r610873
r126625,r206863
r126652,r184767
r126657,r106408
r126657,r664171
r126843,r387538
r126933,r885203
r127009,r871221
r127025,r494794
r127043,r813536
r127052,r512476
r127052,r799756
r127088,r680143
r127249,r557544
r127298,r210616
r127301,r579613
r127303,r662314
r127355,r185790
r127600,r865175
r127771,r794702
r127804,r588176
r127827,r236098
r127903,r196874
r128098,r664517
r128151,r983364
r128292,r825969
r128407,r309427
r128466,r259739
r128552,r938560
r128578,r845365
r128581,r647985
r128670,r236870
r128705,r898060
r128780,r264913
r128997,r584220
r129001,r888692
r129037,r665628
r129136,r600335
r129136,r946530
r129231,r133811
r129240,r203995
r129240,r207626
r129240,r747618
r129354,r416809
r129435,r197763
r129435,r770981
r129435,r786310
r129463,r301081
r129468,r431883
r129472,r140369
r129494,r605872
r129595,r564413
r129728,r130908
r129854,r496241
r129881,r561549
r129930,r787100
r129963,r165624
r129963,r177051
r129963,r863790
r130408,r252067
r130486,r487181
r130563,r650548
r130593,r567769
r130605,r360430
r130628,r529215
r130641,r503524
r130676,r166557
r130676,r412648
r130754,r634544
r130795,r162982
r130834,r270988
r131019,r818515
r131043,r284968
r131046,r255835
r131057,r104169
r131188,r798124
r131258,r134395
r131267,r439818
r131287,r930764
r131562,r197763
r131562,r441488
r131631,r298246
r131663,r695484
r131782,r731972
r131840,r698295
r131843,r910494
r131940,r461254
r131981,r279428
r132073,r390116
r132081,r823076
r132141,r709417
r132151,r843959
r132171,r159494
r132209,r128921
r132292,r274675
r132298,r878927
r132335,r969695
r132353,r217246
r132406,r145651
r132475,r748828
r132501,r845010
r132511,r587579
r132546,r584036
r132629,r117629
r132631,r886404
r132665,r968428
r132733,r400120
r132734,r158140
r132734,r398788
r132873,r816193
r132919,r380756
r132962,r648408
r133038,r396928
r133164,r963763
r133192,r106552
r133225,r994900
r133238,r652887
r133324,r151794
r133366,r876656
r133372,r303303
r133382,r661939
r133487,r860644
r133545,r444286
r133600,r887662
r133617,r575991
r133766,r532951
r134085,r209823
r134092,r608787
r134199,r679240
r134212,r641434
r134236,r796473
r134285,r694648
r134335,r769984
r134369,r508813
r134672,r531494
r134750,r629816
r134762,r103263
r134817,r198577
r134875,r622376
r134929,r659062
r134931,r227761
r134931,r377209
r134931,r419040
r134931,r918944
r134989,r720730
r135034,r682845
r135159,r794956
r135279,r171142
r135279,r624448
r135279,r683101
r135420,r934548
r135559,r694796
r135646,r917011
r135663,r104993
r135663,r107571
r135663,r115995
r135667,r672369
r135672,r375824
r135694,r472065
r135744,r797283
r135825,r691794
r135884,r883001
r135968,r128076
r136002,r306025
r136002,r991638
r136055,r214392
r136155,r791527
r136232,r161267
r136232,r455833
r136259,r781923
r136340,r758153
r136376,r160184
r136376,r474549
r136438,r345208
r136440,r203402
r136549,r613344
r136623,r446690
r136690,r176893
r136801,r196426
r136857,r244627
r137084,r113860
r137167,r694648
r137181,r931728
r137183,r810781
r137191,r254867
r137265,r458002
r137426,r863941
r137494,r637569
r137495,r115322
r137499,r162444
r137583,r900449
r137602,r994681
r137604,r941085
r137615,r777405
r137690,r659377
r137729,r798341
r137735,r997201
r137771,r399998
r137853,r113250
r137853,r160168
r137853,r450461
r137868,r227781
r137879,r475144
r137938,r587720
r137999,r575561
r138035,r137171
r138094,r507566
r138094,r683092
r138171,r590385
r138190,r978394
r138230,r365441
r138284,r147878
r138368,r431317
r138501,r834954
r138518,r758965
r138534,r169503
r138535,r227267
r138607,r810815
r138811,r271845
r138814,r849206
r138818,r632062
r138989,r266876
r138995,r785282
r139002,r630598
r139027,r412983
r139221,r899585
r139225,r127238
r139293,r490944
r139349,r202235
r139358,r254561
r139375,r758171
r139397,r443119
r139428,r663167
r139441,r277891
r139451,r638388
r139528,r343075
r139590,r950014
r139619,r160168
r139619,r366005
r139705,r197592
r139739,r827029
r139787,r725055
r139822,r979251
r139938,r340916
r139971,r736665
r139976,r509033
r140082,r590634
r140098,r457882
r140252,r820818
r140277,r181250
r140339,r243921
r140450,r138846
r140559,r208687
r140768,r433847
r140838,r338987
r140970,r520612
r141040,r529095
r141157,r751840
r141187,r837358
r141279,r937317
r141321,r297875
r141337,r440504
r141356,r537451
r141412,r914821
r141460,r323202
r141554,r131012
r141554,r370281
r141554,r387937
r141554,r582929
r141621,r136060
r141633,r351538
r141645,r982428
r141678,r894180
r141733,r184745
r141864,r543919
r141929,r137607
r141948,r810668
r142005,r953947
r142086,r461628
r142123,r351658
r142265,r269214
r142265,r927456
r142282,r905229
r142541,r753588
r142565,r889100
r142578,r574913
r142672,r961076
r142709,r170328
r142837,r705429
r143028,r892817
r143368,r164998
r143409,r342017
r143440,r787737
r143445,r323768
r143594,r643527
r143655,r424926
r143678,r597242
r143743,r128299
r143789,r585883
r143836,r314764
r143879,r418894
r143916,r525115
r143952,r997616
r144016,r641131
r144103,r320344
r144147,r786672
r144332,r152582
r144333,r272072
r144336,r687430
r144352,r225315
r144398,r106641
r144558,r101766
r144558,r160723
r144558,r189749
r144613,r327033
r144751,r511254
r144751,r858502
r144950,r372273
r145081,r341978
r145215,r584444
r145229,r220660
r145244,r521870
r145334,r214171
r145463,r317304
r145506,r225088
r145559,r692419
r145612,r515755
r145779,r719528
r145858,r561994
r146027,r972671
r146230,r756270
r146279,r301179
r146303,r328887
r146482,r386939
r146507,r106286
r146567,r431133
r146643,r753110
r146731,r251692
r146813,r844673
r146826,r672783
r146829,r734582
r146857,r756368
r146893,r325671
r146926,r116230
r146926,r472249
r146935,r482944
r147118,r914659
r147134,r282314
r147140,r680115
r147157,r183308
r147177,r576076
r147219,r170139
r147224,r114329
r147261,r105309
r147347,r174692
r147393,r797783
r147404,r117061
r147448,r596604
r147464,r771785
r147560,r116799
r147561,r312939
r147610,r364910
r147648,r601538
r147673,r244703
r147738,r839845
r147798,r399461
r148002,r395402
r148006,r492638
r148019,r958471
r148079,r794956
r148167,r836885
r148211,r145186
r148328,r488646
r148330,r306995
r148343,r862073
r148452,r301121
r148481,r217443
r148570,r558219
r148608,r330602
r148674,r170328
r148700,r398193
r148752,r111103
r148886,r310692
r148919,r634311
r149087,r944720
r149139,r626887
r149191,r571799
r149339,r922541
r149372,r342939
r149372,r716949
r149459,r378517
r149634,r343580
r149668,r860383
r149711,r355511
r149731,r705730
r149977,r101628
r150011,r159609
r150034,r999837
r150124,r612040
r150124,r767386
r150178,r107129
r150187,r496402
r150213,r227761
r150229,r185914
r150229,r258596
r150229,r440846
r150261,r201157
r150276,r811944
r150372,r275029
r150432,r635807
r150457,r504958
r150632,r151375
r150671,r134524
r150675,r385194
r150694,r397240
r150714,r895328
r150919,r614447
r150983,r476909
r151414,r101766
r151469,r659899
r151577,r163993
r151581,r789302
r151631,r170380
r151631,r680164
r151642,r501492
r151749,r489254
r151864,r632974
r151988,r400121
r152050,r982736
r152078,r677631
r152145,r972044
r152243,r996663
r152420,r729489
r152429,r657260
r152497,r583804
r152532,r502719
r152544,r718801
r152545,r104993
r152545,r107571
r152545,r115995
r152645,r628865
r152666,r359702
r152668,r146074
r152684,r348569
r152722,r806684
r152765,r415993
r152849,r295995
r152892,r903556
r152894,r256845
r152943,r596530
r153059,r733157
r153061,r480893
r153114,r568397
r153189,r852878
r153192,r170591
r153242,r764864
r153248,r144898
r153349,r916469
r153495,r415063
r153600,r984279
r153608,r163081
r153651,r139728
r153736,r311180
r153828,r735850
r153859,r209251
r153888,r280386
r153892,r274836
r154097,r923646
r154227,r127647
r154366,r988932
r154367,r660377
r154397,r727113
r154437,r100958
r154437,r112286
r154706,r935553
r154757,r389128
r154764,r685229
r154797,r899798
r154825,r114715
r154825,r197763
r154871,r343081
r155110,r541744
r155176,r109602
r155180,r645184
r155221,r438691
r155221,r585523
r155252,r820893
r155530,r602923
r155552,r180235
r155552,r449152
r155578,r944424
r155605,r340362
r155650,r828732
r155663,r590119
r155668,r184848
r155727,r137894
r155737,r944705
r156114,r310780
r156245,r258596
r156245,r440846
r156245,r765685
r156352,r197763
r156352,r441488
r156387,r117349
r156389,r122656
r156425,r688036
r156426,r624448
r156426,r683101
r156462,r133339
r156485,r103627
r156485,r109623
r156485,r198202
r156485,r685685
r156485,r719107
r156485,r832276
r156536,r848421
r156732,r687449
r156949,r336727
r156978,r156072
r156978,r193627
r156978,r227761
r156978,r360430
r157010,r141073
r157010,r452465
r157010,r632974
r157049,r260227
r157180,r276643
r157249,r903035
r157315,r194297
r157377,r713632
r157391,r525931
r157403,r460838
r157457,r424975
r157598,r186014
r157629,r797865
r157637,r301091
r157670,r353867
r157718,r982898
r157856,r416234
r157867,r645436
r157922,r516778
r158028,r655853
r158087,r707711
r158183,r996902
r158398,r803907
r158494,r900126
r158510,r338466
r158546,r748974
r158645,r993322
r158826,r984279
r158849,r798972
r159060,r378370
r159071,r902622
r159091,r338236
r159137,r564808
r159140,r683101
r159270,r637791
r159310,r306054
r159436,r928648
r159436,r940809
r159490,r375824
r159569,r388351
r159570,r101078
r159641,r516463
r159642,r702453
r159663,r152608
r159664,r193266
r159671,r543199
r159748,r575605
r159781,r462081
r159783,r389050
r159814,r863790
r159817,r785922
r159918,r206283
r159954,r906611
r159988,r835657
r160018,r266344
r160116,r701039
r160118,r830819
r160228,r195379
r160230,r289128
r160233,r552209
r160304,r681964
r160349,r388309
r160405,r122860
r160575,r301085
r160583,r632614
r160674,r488871
r160912,r854626
r160984,r191690
r161233,r117213
r161285,r531896
r161313,r602243
r161320,r810216
r161363,r862075
r161378,r476742
r161441,r100097
r161441,r137196
r161441,r176893
r161441,r558219
r161459,r176712
r161475,r778276
r161491,r924624
r161546,r661220
r161556,r792290
r161568,r165624
r161638,r153665
r161646,r465536
r161667,r585470
r161931,r509060
r161950,r307394
r161969,r641183
r161975,r698711
r162171,r825304
r162188,r721061
r162352,r988370
r162420,r107129
r162543,r387539
r162595,r440846
r162717,r261450
r162717,r286994
r162717,r338236
r162767,r516538
r162857,r142525
r162973,r130436
r162973,r859852
r163012,r768709
r163015,r176599
r163030,r131317
r163072,r754956
r163102,r263296
r163196,r656436
r163250,r811503
r163576,r226097
r163802,r605090
r163820,r161078
r163820,r765685
r163820,r984279
r163837,r527457
r163901,r383157
r163923,r266193
r163959,r764231
r164008,r159950
r164053,r878927
r164100,r918811
r164105,r560591
r164189,r332318
r164198,r706088
r164222,r116089
r164242,r765511
r164264,r618547
r164278,r161747
r164278,r443561
r164386,r632864
r164386,r758865
r164389,r256918
r164400,r348217
r164468,r649518
r164491,r563718
r164570,r777375
r164640,r706444
r164812,r949146
r164834,r116686
r164844,r837214
r165003,r918594
r165004,r651893
r165081,r858561
r165180,r281624
r165180,r354255
r165180,r366549
r165180,r821732
r165259,r715470
r165312,r151649
r165373,r200752
r165467,r303518
r165484,r284992
r165507,r335487
r165664,r679912
r165695,r441488
r165830,r549664
r166252,r308102
r166307,r176260
r166310,r546372
r166355,r926920
r166467,r423399
r166569,r910507
r166601,r415993
r166685,r186508
r166701,r952564
r166908,r590569
r166957,r195621
r167055,r850860
r167117,r351079
r167216,r466846
r167495,r171685
r167661,r465650
r167661,r705340
r167685,r918644
r167921,r130115
r168011,r826074
r168024,r420129
r168104,r773204
r168141,r850500
r168493,r110922
r168521,r349612
r168551,r958479
r168636,r131012
r168636,r165170
r168636,r204422
r168636,r437239
r168636,r457008
r168636,r491654
r168636,r894834
r168654,r472249
r168661,r306025
r168661,r991638
r168732,r438932
r168754,r957673
r168897,r919978
r169116,r972689
r169120,r710645
r169468,r634365
r169548,r630209
r169605,r783171
r169661,r912246
r169799,r154948
r170036,r427595
r170096,r248823
r170189,r616478
r170205,r794956
r170286,r330328
r170413,r768260
r170460,r660723
r170465,r171130
r170465,r174887
r170523,r166463
r170585,r705340
r170597,r117871
r170603,r665332
r170733,r446279
r170756,r661688
r170782,r177354
r170782,r494284
r170782,r628200
r170787,r302418
r170899,r872093
r170914,r117199
r170993,r770981
r170993,r879653
r171019,r134538
r171251,r618146
r171254,r961848
r171269,r777794
r171413,r413695
r171459,r862954
r171477,r739823
r171493,r552229
r171508,r821474
r171530,r940431
r171577,r130436
r171577,r859852
r171652,r258248
r171684,r659179
r171720,r115043
r171798,r137171
r171864,r881651
r171928,r745296
r171963,r757186
r172009,r203686
r172193,r765995
r172334,r836534
r172373,r777912
r172398,r277897
r172525,r834632
r172554,r469856
r172692,r266399
r172781,r851145
r172807,r801460
r172881,r127824
r172881,r360430
r172881,r377209
r172885,r323830
r173003,r936623
r173089,r116381
r173219,r793071
r173280,r181382
r173282,r172514
r173329,r760762
r173340,r276027
r173482,r185480
r173554,r309104
r173565,r424665
r173721,r758017
r173858,r357367
r173890,r124423
r173890,r281624
r173890,r366549
r173890,r821732
r173896,r249363
r173982,r179164
r174034,r235909
r174036,r743606
r174046,r531508
r174102,r142100
r174102,r195426
r174102,r227761
r174129,r652793
r174179,r960466
r174247,r304708
r174342,r442792
r174346,r101898
r174346,r137196
r174346,r204422
r174346,r402437
r174346,r587857
r174513,r778380
r174625,r993810
r174642,r588311
r174653,r102552
r174654,r482949
r174884,r837675
r174988,r953262
r174990,r618578
r175065,r441952
r175070,r994681
r175190,r147596
r175190,r258596
r175190,r440846
r175190,r516854
r175190,r984279
r175349,r912687
r175710,r467659
r175788,r167803
r175788,r440846
r175829,r271563
r175905,r326558
r176039,r184345
r176065,r101898
r176065,r204422
r176065,r632974
r176089,r459029
r176213,r384133
r176432,r455634
r176474,r342136
r176665,r884716
r176676,r397904
r176701,r857071
r176708,r184650
r176739,r179856
r176789,r907915
r176849,r430976
r176856,r139744
r176864,r736166
r176906,r843312
r177008,r558398
r177043,r709204
r177125,r306834
r177239,r863982
r177342,r768246
r177395,r614680
r177541,r567545
r177548,r740821
r177579,r177354
r177585,r115749
r177689,r471973
r177715,r161048
r177726,r361466
r177801,r151305
r177893,r890086
r178002,r444364
r178065,r485296
r178075,r110860
r178075,r178584
r178143,r174793
r178185,r165594
r178404,r349226
r178474,r601710
r178488,r541331
r178627,r969047
r178739,r314562
r178747,r130430
r178867,r559255
r178990,r560724
r179140,r139453
r179207,r627874
r179380,r781300
r179430,r178251
r179442,r135765
r179444,r436021
r179525,r136290
r179556,r719554
r179734,r548440
r179870,r110404
r179882,r865042
r179960,r482360
r179970,r321931
r179979,r177141
r180005,r387518
r180079,r554254
r180103,r164208
r180399,r868813
r180434,r865906
r180476,r515234
r180482,r570646
r180486,r223373
r180602,r218002
r180752,r240093
r180789,r180967
r180802,r607602
r180806,r211667
r180870,r885942
r180894,r221217
r180989,r538642
r181094,r596530
r181170,r139836
r181223,r327570
r181228,r514370
r181234,r266876
r181234,r778342
r181341,r823775
r181405,r700014
r181430,r722945
r181464,r181250
r181464,r207314
r181497,r461540
r181679,r267894
r181688,r196801
r181708,r404479
r181784,r604443
r181866,r430915
r181969,r253372
r182037,r227643
r182043,r193215
r182043,r979136
r182060,r583955
r182260,r616794
r182312,r878145
r182389,r378187
r182557,r968743
r182602,r705038
r182674,r126215
r182674,r174831
r182765,r633518
r182818,r188147
r182868,r489019
r182960,r118281
r182975,r749465
r183086,r297439
r183115,r432260
r183125,r909915
r183203,r395206
r183412,r854131
r183547,r945989
r183600,r373123
r183694,r536277
r183754,r401790
r183814,r530171
r183893,r850973
r183908,r409605
r184045,r178825
r184061,r819895
r184094,r128902
r184094,r156072
r184094,r193627
r184094,r227761
r184094,r360430
r184249,r228422
r184278,r806777
r184279,r802064
r184306,r787307
r184417,r270245
r184653,r712880
r184657,r638816
r184686,r542821
r184764,r662706
r185034,r103853
r185042,r490908
r185119,r532094
r185160,r661472
r185299,r540956
r185341,r221241
r185381,r549614
r185484,r283784
r185567,r813378
r185606,r160728
r185650,r710562
r185788,r153438
r185799,r527864
r185843,r608437
r185909,r304163
r185955,r255743
r186161,r738276
r186174,r581530
r186294,r234820
r186330,r738359
r186341,r743964
r186341,r939559
r186395,r104938
r186412,r210176
r186477,r195095
r186556,r783850
r186649,r937720
r186653,r181252
r186653,r261584
r186706,r941765
r186768,r425313
r186859,r194219
r186888,r161078
r186888,r562883
r186888,r910983
r186888,r984279
r187042,r137686
r187042,r177354
r187042,r494284
r187042,r628200
r187138,r354986
r187201,r181836
r187509,r653616
r187656,r889947
r187674,r622086
r187690,r432137
r187709,r910381
r187746,r792190
r187803,r135140
r187983,r171610
r188012,r673627
r188102,r613368
r188128,r115473
r188148,r141056
r188284,r690178
r188336,r349260
r188440,r803650
r188514,r465704
r188613,r595542
r188698,r728057
r188707,r431454
r188725,r665396
r188827,r397665
r188955,r470757
r189002,r312712
r189009,r754104
r189017,r711735
r189369,r837952
r189421,r642573
r189614,r274483
r189778,r874261
r189788,r580658
r189929,r102714
r190011,r124770
r190112,r184080
r190155,r638585
r190342,r170143
r190413,r343936
r190502,r596214
r190543,r830536
r190552,r112951
r190569,r384278
r190608,r100097
r190608,r141073
r190608,r288468
r190608,r452465
r190626,r993141
r190639,r183511
r190714,r445110
r190731,r618713
r190908,r756902
r190952,r142818
r190955,r960679
r190961,r485918
r191302,r835819
r191335,r276842
r191381,r176901
r191616,r270004
r191623,r586617
r191633,r836749
r191652,r371622
r191771,r604510
r191851,r870034
r191975,r846495
r192110,r705855
r192114,r118581
r192160,r622004
r192259,r529984
r192299,r119634
r192316,r637593
r192400,r380325
r192416,r118576
r192418,r127345
r192468,r146513
r192468,r168955
r192644,r947804
r192767,r378939
r192809,r274578
r192847,r803805
r193010,r564927
r193051,r165045
r193144,r126308
r193302,r534623
r193489,r613884
r193492,r306033
r193590,r215790
r193675,r625189
r193682,r171298
r193693,r366549
r193809,r254674
r193822,r193004
r193925,r269214
r193925,r948062
r194008,r542799
r194010,r460406
r194040,r748974
r194228,r208412
r194263,r755818
r194466,r307994
r194466,r575875
r194482,r787736
r194536,r214543
r194586,r145844
r194594,r165388
r194665,r645537
r194703,r156745
r194703,r476742
r194749,r745138
r194771,r329623
r194787,r183702
r194888,r217381
r194904,r289558
r194966,r489189
r194974,r832211
r195018,r931796
r195159,r185914
r195159,r202235
r195159,r440846
r195160,r788290
r195188,r664060
r195232,r305789
r195342,r172289
r195408,r272029
r195460,r261952
r195465,r122488
r195504,r112969
r195558,r952788
r195617,r155877
r195810,r991113
r195861,r166035
r195971,r105181
r196023,r184289
r196092,r271511
r196108,r834826
r196111,r420736
r196169,r678560
r196213,r417111
r196237,r745749
r196249,r600675
r196285,r152608
r196285,r307994
r196285,r862129
r196285,r871774
r196327,r782024
r196327,r937720
r196432,r213926
r196436,r328738
r196446,r506808
r196631,r553401
r196803,r373735
r197033,r883001
r197107,r180343
r197129,r564736
r197358,r696071
r197428,r403057
r197445,r167952
r197454,r367117
r197697,r436236
r197703,r904739
r197754,r709417
r197799,r849023
r197903,r724462
r198072,r458750
r198080,r156511
r198080,r258596
r198115,r115749
r198115,r575768
r198122,r112800
r198210,r625386
r198216,r607776
r198334,r684034
r198346,r192433
r198369,r216905
r198373,r834273
r198427,r129456
r198657,r696725
r198769,r333169
r198786,r708644
r198878,r724957
r198897,r355516
r199152,r879592
r199201,r264462
r199284,r127422
r199337,r750052
r199338,r871884
r199470,r475578
r199470,r544546
r199537,r511254
r199593,r834636
r199775,r197434
r199842,r354698
r199912,r582247
r199929,r612208
r200069,r904920
r200148,r384542
r200422,r468449
r200444,r511873
r200614,r143479
r200614,r144293
r200614,r163369
r200699,r118040
r200734,r424954
r200962,r320929
r201061,r150876
r201217,r707973
r201280,r888770
r201312,r418145
r201407,r474494
r201442,r870725
r201661,r107929
r201758,r318660
r201823,r907369
r202110,r387576
r202261,r555093
r202391,r719527
r202408,r934741
r202486,r953141
r202570,r136385
r202667,r451855
r202759,r274734
r202799,r751461
r203166,r199968
r203337,r321996
r203338,r645924
r203415,r225894
r203432,r535452
r203432,r703807
r203434,r284173
r203597,r697942
r203608,r182884
r203608,r362226
r203608,r593777
r203641,r201245
r203718,r600507
r203778,r757223
r203989,r918374
r204009,r525113
r204100,r852588
r204150,r260646
r204229,r391520
r204229,r726882
r204616,r917929
r204716,r977508
r204743,r547027
r204903,r280752
r205041,r187892
r205183,r536541
r205198,r286343
r205271,r910817
r205704,r435796
r205768,r175160
r205776,r631483
r205976,r690672
r205976,r759502
r206026,r537215
r206051,r281010
r206161,r936966
r206173,r963763
r206183,r739700
r206279,r662832
r206321,r326769
r206487,r140164
r206573,r797699
r206578,r732535
r206842,r218472
r207108,r521890
r207143,r211523
r207305,r264106
r207437,r837118
r207438,r314481
r207494,r461347
r207511,r816835
r207584,r929781
r207629,r750010
r207786,r550680
r207788,r216368
r207972,r591072
r207981,r356102
r208098,r970696
r208291,r448960
r208334,r738759
r208385,r868696
