r100014,r397114
r103152,r538519
r103167,r100965
r103167,r433460
r103167,r475941
r103167,r960224
r103207,r808725
r103218,r425295
r103218,r464316
r103218,r861211
r103236,r680016
r103293,r479960
r103299,r725269
r103330,r430210
r103402,r330812
r103410,r804501
r103410,r986586
r103411,r860539
r103482,r273550
r103482,r796304
r103482,r947400
r103489,r237608
r103501,r317051
r103505,r898680
r103528,r625038
r103532,r754656
r103538,r215817
r103538,r686245
r103538,r739611
r103591,r193670
r103642,r601291
r103654,r286246
r103662,r285589
r103662,r811144
r103744,r579395
r103770,r286250
r103787,r230443
r103787,r419065
r103792,r869761
r103820,r803459
r103865,r818679
r103878,r286065
r103914,r613282
r103922,r842183
r103971,r669715
r103971,r864025
r103999,r822520
r104027,r404018
r104043,r393003
r104051,r305873
r104080,r485773
r104143,r515846
r104143,r564654
r104143,r580850
r104143,r999887
r104149,r174847
r104157,r270441
r104157,r443407
r104168,r517361
r104168,r715820
r104208,r728858
r104213,r386122
r104213,r838846
r104244,r604128
r104244,r671597
r104333,r149448
r104333,r671261
r104336,r442069
r104336,r600865
r104336,r823278
r104336,r955346
r104357,r600195
r104357,r728040
r104357,r789952
r104358,r430229
r104385,r381171
r104429,r743807
r104431,r827830
r104436,r998215
r104456,r377625
r104456,r481415
r104456,r574575
r104458,r457187
r104479,r102894
r104479,r171101
r104575,r461445
r104575,r864749
r104643,r827291
r104659,r469600
r104659,r620515
r104676,r123880
r104699,r766946
r104703,r572442
r104776,r404446
r104812,r711411
r104812,r846984
r104823,r972366
r104853,r457563
r104877,r470908
r104877,r899986
r104882,r858241
r104936,r601414
r104936,r692953
r105166,r679364
r105188,r565982
r105228,r244933
r105251,r494543
r105291,r525926
r105291,r920889
r105319,r253042
r105319,r600100
r105352,r999890
r105357,r161517
r105357,r638280
r105357,r698034
r105357,r985108
r105366,r289360
r105396,r236882
r105396,r587535
r105409,r586454
r105426,r272026
r105426,r588566
r105426,r594590
r105426,r931837
r105445,r106875
r105445,r277333
r105445,r490314
r105445,r548924
r105445,r927853
r105519,r246077
r105657,r192432
r105678,r714040
r105678,r770404
r105678,r824403
r105693,r320597
r105725,r877950
r105772,r560106
r105853,r793307
r105877,r220506
r105944,r753014
r105974,r567767
r105983,r234202
r105988,r420533
r106006,r873964
r106081,r157598
r106087,r397289
r106172,r320851
r106214,r274107
r106223,r586518
r106443,r455178
r106554,r316109
r106635,r356985
r106677,r510092
r106677,r581953
r106677,r597835
r106677,r967731
r106677,r972142
r106683,r473163
r106714,r211131
r106714,r610780
r106714,r699403
r106714,r769934
r106714,r974921
r106753,r451727
r106755,r788326
r106768,r183803
r106768,r582951
r106768,r929529
r106782,r992679
r106887,r895092
r106905,r569351
r106905,r616588
r107062,r350445
r107062,r674576
r107081,r810283
r107083,r187319
r107083,r384302
r107083,r754531
r107083,r849881
r107095,r979787
r107136,r530004
r107138,r181338
r107138,r210707
r107197,r697314
r107201,r298682
r107201,r945858
r107309,r245449
r107316,r148616
r107316,r856371
r107392,r705173
r107392,r716548
r107429,r378457
r107467,r288685
r107467,r926560
r107584,r643337
r107584,r910416
r107584,r936849
r107618,r107768
r107629,r664025
r107664,r245943
r107664,r304192
r107664,r416363
r107681,r869052
r107693,r481393
r107699,r784072
r107748,r116616
r107763,r534821
r107828,r126095
r107828,r170249
r107828,r178857
r107828,r247692
r107828,r317571
r107828,r416371
r107828,r677301
r107828,r802542
r107828,r937073
r107868,r909797
r107925,r362199
r107925,r771923
r107988,r429543
r108034,r259724
r108034,r733929
r108038,r225966
r108064,r549838
r108064,r688365
r108108,r256556
r108108,r807708
r108108,r942008
r108129,r309430
r108196,r416957
r108196,r894171
r108196,r921645
r108241,r184208
r108241,r380126
r108307,r811697
r108317,r301783
r108334,r732457
r108350,r805427
r108365,r140314
r108427,r188180
r108427,r283924
r108427,r462863
r108427,r568175
r108455,r286771
r108457,r857887
r108463,r529346
r108485,r762635
r108485,r909610
r108499,r709947
r108575,r674257
r108575,r759613
r108594,r341996
r108598,r655902
r108614,r452489
r108627,r734849
r108627,r899752
r108661,r728062
r108763,r905957
r108784,r100282
r108793,r625102
r108885,r607492
r108885,r743229
r108892,r299680
r108892,r345483
r108892,r987461
r108894,r635765
r108894,r653411
r109045,r604694
r109073,r241790
r109125,r708136
r109125,r711963
r109190,r251681
r109198,r195175
r109375,r778702
r109398,r198216
r109426,r558750
r109441,r740015
r109455,r408278
r109464,r393120
r109490,r347564
r109490,r856371
r109556,r207578
r109556,r652842
r109556,r842067
r109566,r539564
r109581,r567311
r109725,r358615
r109792,r907285
r109833,r520743
r109841,r272706
r109866,r136884
r109866,r398586
r109913,r283915
r109927,r549624
r109958,r286383
r109992,r540596
r110037,r435533
r110085,r507507
r110157,r588894
r110177,r155916
r110200,r105568
r110200,r433846
r110218,r384177
r110218,r486775
r110254,r295101
r110254,r455056
r110254,r481886
r110254,r551822
r110254,r590681
r110254,r899325
r110298,r427227
r110330,r353156
r110330,r923405
r110362,r510005
r110399,r749964
r110400,r124367
r110424,r718387
r110447,r844243
r110458,r957041
r110459,r756017
r110475,r473394
r110475,r778309
r110494,r980023
r110506,r477855
r110555,r965569
r110563,r170103
r110563,r292997
r110563,r852973
r110563,r973732
r110638,r476142
r110663,r233269
r110725,r113456
r110725,r126421
r110725,r130241
r110725,r561312
r110725,r927613
r110730,r558699
r110843,r619738
r110854,r998408
r110864,r148695
r110864,r239076
r110864,r525418
r110864,r572728
r110864,r729318
r110864,r749572
r110864,r764706
r110864,r856598
r110864,r870479
r110864,r965154
r110879,r827529
r110909,r502124
r110909,r636625
r110909,r826727
r110957,r885043
r110958,r805922
r110967,r904463
r110971,r101684
r110998,r621375
r110998,r778722
r110998,r787777
r111022,r857681
r111074,r124641
r111074,r197647
r111074,r242580
r111074,r340313
r111074,r473980
r111074,r793307
r111074,r998191
r111081,r343810
r111114,r125435
r111114,r443507
r111114,r574398
r111121,r674359
r111126,r165075
r111126,r656436
r111154,r252156
r111154,r449059
r111184,r160348
r111217,r970295
r111253,r158277
r111264,r486623
r111312,r733298
r111317,r395003
r111317,r621901
r111334,r147243
r111334,r646227
r111334,r737555
r111335,r350920
r111335,r609236
r111347,r470716
r111455,r122318
r111483,r418327
r111483,r702697
r111484,r647527
r111498,r407088
r111506,r114800
r111506,r168140
r111506,r187074
r111506,r317480
r111506,r320137
r111506,r441038
r111506,r637260
r111506,r772805
r111506,r797420
r111506,r938526
r111510,r842287
r111598,r492402
r111625,r910917
r111630,r537761
r111649,r573598
r111680,r876601
r111698,r157689
r111710,r261465
r111722,r349783
r111722,r403511
r111722,r737176
r111760,r218693
r111833,r989806
r111903,r161548
r111903,r340431
r111903,r440478
r111903,r830732
r111916,r300785
r111965,r363026
r111976,r619583
r111997,r430121
r111997,r432141
r111997,r964301
r112053,r693786
r112062,r166072
r112096,r117578
r112096,r345595
r112096,r422037
r112096,r483438
r112123,r174996
r112123,r510500
r112123,r923809
r112137,r139692
r112144,r587653
r112163,r355961
r112176,r893600
r112181,r172333
r112181,r195617
r112181,r485513
r112181,r541777
r112181,r812542
r112181,r947196
r112186,r607731
r112192,r101816
r112192,r534049
r112192,r563788
r112192,r885291
r112221,r772143
r112221,r802294
r112255,r425794
r112274,r464176
r112339,r317777
r112339,r851158
r112355,r357960
r112413,r298539
r112413,r364853
r112480,r557753
r112480,r577438
r112480,r666527
r112480,r978558
r112517,r996575
r112652,r376321
r112652,r763039
r112738,r103016
r112738,r218834
r112773,r186628
r112773,r750656
r112784,r665708
r112793,r355847
r112813,r282252
r112813,r693375
r112835,r766443
r112891,r667074
r112891,r787392
r112922,r125582
r112922,r435681
r112922,r498160
r112922,r677301
r112939,r122596
r112948,r387571
r112983,r644153
r113014,r907108
r113058,r656587
r113076,r381915
r113076,r452716
r113104,r865513
r113129,r588898
r113171,r610316
r113206,r734363
r113206,r865933
r113249,r545664
r113258,r687870
r113266,r228409
r113266,r854903
r113282,r104317
r113325,r558141
r113399,r288314
r113399,r886389
r113407,r911977
r113411,r262485
r113411,r664134
r113451,r884834
r113499,r410266
r113499,r813237
r113551,r701394
r113577,r897620
r113640,r563336
r113653,r156448
r113669,r387017
r113669,r680234
r113669,r770290
r113679,r199976
r113679,r286429
r113679,r533357
r113693,r256675
r113693,r585440
r113693,r693060
r113728,r193053
r113768,r879431
r113790,r443734
r113790,r572868
r113790,r987299
r113794,r866161
r113807,r447868
r114015,r408525
r114024,r456308
r114048,r723565
r114073,r862127
r114079,r187512
r114133,r128607
r114133,r525956
r114162,r171003
r114175,r671778
r114195,r565613
r114214,r672391
r114218,r708179
r114278,r619681
r114308,r100590
r114308,r579963
r114308,r911637
r114328,r302834
r114366,r771539
r114396,r543302
r114417,r883432
r114466,r429221
r114478,r667697
r114513,r624254
r114525,r853572
r114591,r116918
r114612,r108468
r114612,r160195
r114612,r214536
r114612,r321402
r114612,r399190
r114612,r473878
r114612,r531936
r114612,r651106
r114612,r980581
r114619,r328663
r114628,r256199
r114632,r726196
r114753,r642150
r114775,r625276
r114784,r278856
r114813,r204574
r114825,r356206
r114900,r125582
r114900,r160883
r114900,r301949
r114900,r317571
r114900,r355044
r114900,r677301
r114900,r821236
r114927,r104962
r114927,r441386
r114927,r675590
r114927,r960406
r114927,r966423
r114949,r115923
r114985,r822008
r115002,r480610
r115046,r636390
r115046,r799179
r115050,r191022
r115076,r636603
r115079,r520585
r115079,r693266
r115079,r733063
r115095,r375557
r115100,r185796
r115100,r281429
r115124,r415300
r115146,r365472
r115204,r257364
r115204,r884062
r115224,r688427
r115255,r292948
r115255,r712583
r115322,r299313
r115343,r768943
r115373,r765144
r115396,r369610
r115445,r702404
r115445,r948137
r115480,r606887
r115480,r678770
r115509,r923273
r115518,r625907
r115518,r702529
r115577,r655560
r115585,r755205
r115653,r932545
r115718,r425794
r115734,r423725
r115734,r540694
r115757,r360274
r115777,r255411
r115787,r103485
r115822,r323779
r115822,r331281
r115822,r688944
r115863,r462863
r115863,r464773
r115863,r646776
r115863,r687171
r115884,r663734
r115889,r468864
r115889,r597386
r115945,r867795
r116029,r338710
r116029,r706238
r116040,r454622
r116040,r502182
r116061,r183406
r116078,r564787
r116179,r965164
r116180,r994407
r116206,r833327
r116239,r319607
r116239,r367531
r116239,r780105
r116271,r756364
r116271,r889774
r116318,r783344
r116325,r670066
r116374,r117820
r116390,r371140
r116420,r753928
r116424,r894920
r116459,r792801
r116469,r465824
r116469,r725844
r116475,r719633
r116527,r953120
r116534,r810855
r116539,r637450
r116564,r687380
r116569,r791649
r116574,r533810
r116656,r349799
r116688,r758441
r116700,r962117
r116701,r524076
r116801,r454608
r116808,r194697
r116811,r814434
r116818,r693262
r116830,r390146
r116888,r877042
r116940,r214536
r116940,r399190
r116940,r860685
r117048,r578344
r117050,r434984
r117050,r659241
r117093,r351297
r117135,r420749
r117175,r378072
r117175,r863734
r117208,r609067
r117208,r637314
r117233,r768116
r117236,r756261
r117306,r387017
r117306,r841002
r117337,r788037
r117353,r737245
r117358,r565757
r117358,r882500
r117361,r422037
r117361,r428600
r117369,r470375
r117386,r182290
r117479,r693738
r117502,r245581
r117554,r422097
r117554,r476847
r117575,r283477
r117593,r817890
r117593,r975440
r117609,r704653
r117611,r243612
r117611,r643405
r117655,r733206
r117655,r950115
r117714,r990524
r117716,r636625
r117754,r340333
r117759,r405470
r117804,r214699
r117815,r814121
r117837,r460419
r117837,r590324
r117837,r724832
r117842,r186685
r117861,r542681
r117874,r677802
r117874,r741301
r117882,r364417
r117886,r597740
r117886,r809480
r117913,r760680
r117946,r514217
r117953,r732517
r117971,r226819
r117971,r238776
r117971,r577098
r118010,r634753
r118083,r240358
r118152,r877339
r118155,r286250
r118175,r640144
r118175,r789071
r118278,r900016
r118316,r899645
r118322,r696936
r118404,r176993
r118412,r704600
r118416,r371595
r118416,r422474
r118416,r765121
r118416,r862680
r118416,r938926
r118458,r120115
r118458,r353154
r118458,r754541
r118458,r917232
r118475,r756465
r118500,r155378
r118500,r276868
r118500,r886392
r118516,r546339
r118618,r406806
r118621,r548379
r118645,r372542
r118645,r692211
r118693,r951923
r118712,r126095
r118712,r178857
r118712,r247692
r118712,r301949
r118712,r466661
r118712,r753690
r118712,r802542
r118712,r814730
r118712,r937073
r118754,r282043
r118781,r725464
r118783,r278338
r118858,r202347
r118858,r225314
r118869,r854535
r118890,r318068
r118890,r530629
r118985,r421062
r118986,r638275
r118986,r708784
r119073,r582786
r119073,r959186
r119113,r521077
r119226,r191029
r119231,r302752
r119231,r744633
r119245,r642419
r119255,r332764
r119255,r479660
r119257,r455434
r119257,r720939
r119258,r637482
r119274,r980943
r119301,r586776
r119434,r326856
r119491,r660450
r119491,r718028
r119491,r781321
r119501,r425715
r119524,r433863
r119557,r880859
r119572,r218247
r119579,r805346
r119596,r302784
r119614,r287074
r119724,r579417
r119726,r431569
r119744,r442748
r119778,r483892
r119786,r839989
r119786,r994987
r119794,r161488
r119855,r238073
r120006,r738332
r120020,r311647
r120025,r674747
r120078,r964718
r120129,r695232
r120175,r112889
r120175,r300611
r120278,r937348
r120311,r879993
r120332,r131061
r120332,r177009
r120332,r245333
r120332,r287655
r120332,r459287
r120421,r986080
r120422,r885050
r120445,r613670
r120445,r636901
r120459,r155953
r120459,r891076
r120508,r868205
r120508,r974920
r120611,r355767
r120665,r717350
r120669,r320110
r120684,r564037
r120695,r804149
r120715,r151446
r120715,r379663
r120720,r116561
r120767,r879364
r120773,r458142
r120805,r807315
r120826,r946007
r120833,r304244
r120848,r905774
r120880,r333863
r120903,r802886
r120917,r737235
r120931,r290217
r120945,r439731
r120947,r856980
r120962,r212389
r120962,r242444
r120971,r574575
r120985,r363416
r120998,r321469
r121007,r631723
r121061,r231825
r121072,r771269
r121180,r932869
r121189,r179343
r121256,r608999
r121278,r546725
r121293,r110631
r121312,r194444
r121373,r623627
r121404,r170198
r121420,r102654
r121420,r382798
r121420,r386936
r121420,r599373
r121436,r143258
r121454,r584877
r121483,r268849
r121483,r977561
r121505,r433505
r121505,r967172
r121523,r343569
r121579,r755976
r121612,r693630
r121691,r343828
r121755,r492070
r121794,r388103
r121876,r526177
r121879,r556158
r121883,r823438
r122035,r195505
r122062,r184538
r122154,r248925
r122160,r990919
r122162,r473940
r122185,r815846
r122216,r606372
r122268,r845966
r122269,r754899
r122335,r648508
r122385,r561194
r122385,r705450
r122448,r280892
r122553,r387430
r122613,r390527
r122613,r997673
r122622,r288820
r122688,r530738
r122688,r872258
r122705,r155280
r122709,r731197
r122721,r240758
r122721,r306242
r122721,r413843
r122721,r929529
r122721,r966407
r122735,r113503
r122803,r150550
r122803,r345835
r122806,r375898
r122811,r306741
r122811,r510192
r122811,r902526
r122841,r145171
r122846,r417028
r122846,r778915
r122860,r569594
r122878,r358652
r122884,r572512
r122884,r854754
r122886,r480170
r122886,r515714
r122886,r758767
r122904,r354665
r122904,r525942
r122904,r729076
r122904,r754742
r122923,r861973
r122983,r653496
r122983,r802232
r123001,r155953
r123001,r209779
r123001,r249385
r123001,r805230
r123054,r972917
r123066,r801882
r123077,r923952
r123116,r129883
r123116,r979333
r123122,r761623
r123156,r549567
r123156,r884037
r123167,r142395
r123181,r199223
r123202,r304288
r123253,r415994
r123253,r562244
r123259,r807141
r123277,r668098
r123278,r138803
r123278,r634739
r123297,r139647
r123356,r787160
r123399,r863391
r123416,r123406
r123456,r958429
r123473,r936424
r123517,r225785
r123517,r412761
r123517,r841175
r123517,r905495
r123519,r616889
r123519,r912649
r123600,r490634
r123632,r572120
r123637,r535892
r123637,r968021
r123682,r467453
r123682,r629298
r123682,r711637
r123691,r816860
r123692,r897483
r123766,r340136
r123774,r559925
r123844,r329619
r123844,r421049
r123844,r473481
r123899,r299342
r123899,r438705
r123942,r964998
r123952,r129177
r124027,r926555
r124031,r583138
r124067,r294316
r124067,r558244
r124067,r790330
r124099,r350350
r124099,r492485
r124099,r662659
r124125,r530919
r124147,r699930
r124155,r759351
r124195,r365588
r124195,r838961
r124227,r948657
r124243,r757700
r124287,r294570
r124287,r555165
r124356,r500648
r124356,r952689
r124395,r187319
r124395,r231317
r124405,r174943
r124405,r726876
r124407,r505168
r124438,r497007
r124452,r936725
r124505,r540694
r124505,r608933
r124540,r333407
r124540,r633980
r124547,r941263
r124568,r524905
r124577,r698374
r124604,r372757
r124635,r486326
r124657,r549166
r124679,r130311
r124703,r867176
r124740,r348218
r124745,r184763
r124804,r469432
r124815,r503662
r124815,r777379
r124817,r239249
r124824,r147619
r124824,r571753
r124824,r901464
r124842,r551566
r124842,r966454
r124914,r551325
r124971,r614283
r124971,r936418
r125004,r472137
r125035,r620988
r125035,r721592
r125053,r287441
r125053,r931720
r125069,r466060
r125103,r236897
r125151,r822082
r125193,r258096
r125276,r485635
r125294,r176260
r125294,r782612
r125314,r952746
r125318,r250001
r125318,r776327
r125344,r200452
r125344,r924540
r125381,r482004
r125381,r894943
r125417,r731197
r125417,r842578
r125615,r376097
r125644,r216845
r125644,r455695
r125644,r982941
r125666,r795776
r125770,r576348
r125808,r970265
r125846,r870059
r125854,r676612
r125915,r126069
r125966,r878301
r125990,r135190
r126048,r190001
r126177,r497233
r126202,r669383
r126238,r459043
r126319,r134808
r126340,r875988
r126348,r640369
r126348,r817144
r126348,r849711
r126349,r384898
r126349,r455176
r126349,r537137
r126352,r824016
r126398,r319026
r126398,r563664
r126398,r744821
r126464,r839621
r126496,r817621
r126510,r371061
r126518,r149241
r126518,r374202
r126518,r502169
r126518,r775723
r126541,r286088
r126541,r776349
r126614,r953346
r126709,r811538
r126814,r282425
r126905,r418217
r126908,r597784
r126908,r973625
r126919,r431987
r126919,r771437
r126932,r760011
r126978,r809784
r127068,r293745
r127068,r480616
r127068,r910488
r127120,r198763
r127120,r667953
r127120,r829534
r127120,r910649
r127140,r189821
r127162,r902183
r127201,r457543
r127201,r706611
r127227,r269369
r127234,r692674
r127247,r228602
r127250,r253927
r127250,r496910
r127250,r772114
r127280,r586620
r127408,r297015
r127522,r149044
r127522,r348246
r127522,r357424
r127522,r411395
r127522,r475920
r127522,r487867
r127522,r602826
r127522,r700089
r127522,r809537
r127524,r581381
r127524,r802370
r127524,r902731
r127531,r152361
r127531,r806286
r127578,r503388
r127592,r156032
r127592,r162956
r127651,r273890
r127706,r329210
r127747,r201442
r127747,r227819
r127761,r540091
r127761,r887928
r127822,r405621
r127822,r749729
r127962,r410391
r127994,r285885
r128003,r541236
r128017,r466610
r128028,r909849
r128046,r705811
r128055,r246584
r128056,r186685
r128127,r591881
r128150,r854613
r128163,r542914
r128170,r553745
r128170,r964718
r128174,r352699
r128217,r568047
r128217,r727422
r128217,r861179
r128220,r481232
r128249,r564525
r128284,r175054
r128284,r247692
r128284,r314055
r128284,r317571
r128284,r732904
r128292,r910416
r128329,r518242
r128339,r326394
r128339,r901372
r128368,r202451
r128374,r114534
r128381,r110530
r128381,r249668
r128508,r234396
r128508,r271255
r128549,r158515
r128587,r889819
r128592,r677958
r128592,r779017
r128616,r778453
r128645,r843574
r128646,r724037
r128661,r626285
r128686,r680570
r128707,r199976
r128707,r258096
r128707,r286429
r128707,r317574
r128707,r822473
r128707,r977671
r128749,r781812
r128775,r648683
r128777,r296252
r128783,r303662
r128828,r250936
r128838,r343699
r128838,r358683
r128838,r487635
r128838,r869455
r128854,r214795
r128862,r342784
r128862,r348797
r128869,r380809
r128877,r172902
r128985,r479533
r129027,r900207
r129114,r864370
r129117,r407081
r129145,r415114
r129178,r651060
r129189,r173992
r129189,r527582
r129189,r957280
r129203,r435273
r129289,r721865
r129293,r411968
r129370,r906059
r129372,r636109
r129400,r431172
r129407,r492392
r129466,r360926
r129466,r480708
r129471,r992971
r129478,r320789
r129632,r444666
r129632,r445904
r129632,r685050
r129650,r211803
r129650,r757799
r129650,r897401
r129698,r363294
r129745,r637573
r129807,r129139
r129813,r230979
r129850,r324963
r129850,r868383
r129850,r894829
r129852,r193016
r129852,r985108
r129882,r362438
r129882,r891619
r129900,r635985
r129922,r163235
r129941,r386069
r129946,r109445
r129962,r657520
r129962,r742369
r129964,r762604
r129964,r974962
r130002,r180119
r130033,r534038
r130033,r756620
r130049,r693831
r130092,r933546
r130149,r565046
r130212,r534216
r130226,r287119
r130226,r900596
r130230,r119145
r130230,r767839
r130231,r910594
r130246,r871202
r130253,r565029
r130291,r670925
r130294,r610595
r130305,r179897
r130310,r310371
r130314,r380158
r130316,r443184
r130347,r806826
r130413,r464870
r130438,r198092
r130438,r555811
r130438,r655275
r130438,r702193
r130448,r473019
r130472,r267708
r130491,r214382
r130491,r297014
r130639,r234171
r130639,r357733
r130639,r365593
r130639,r459043
r130639,r723981
r130649,r826767
r130658,r624555
r130714,r221677
r130786,r291648
r130893,r326426
r130902,r141568
r130906,r621393
r130906,r968621
r130973,r996913
r130995,r195015
r131024,r162742
r131024,r950169
r131081,r324638
r131129,r727052
r131142,r451959
r131183,r347036
r131215,r566533
r131287,r598586
r131354,r692311
r131354,r971973
r131354,r984997
r131368,r939660
r131386,r464096
r131386,r503909
r131399,r170956
r131399,r197647
r131399,r473980
r131399,r573562
r131399,r592634
r131402,r227595
r131402,r284637
r131402,r396053
r131402,r403546
r131451,r738418
r131515,r365557
r131515,r685944
r131522,r861211
r131577,r345835
r131577,r656476
r131577,r782803
r131577,r974219
r131581,r656712
r131583,r629840
r131585,r586871
r131629,r379849
r131629,r985914
r131632,r301854
r131632,r814528
r131677,r395132
r131677,r659607
r131791,r296599
r131793,r343553
r131797,r136620
r131797,r908864
r131797,r990543
r131837,r383969
r131860,r263271
r131860,r474337
r131919,r220506
r131919,r491309
r131919,r896041
r131946,r212572
r131949,r601541
r131987,r114768
r131987,r186423
r132003,r871665
r132129,r880584
r132130,r554007
r132148,r263532
r132150,r378261
r132198,r984936
r132235,r502005
r132320,r686633
r132320,r814701
r132320,r840283
r132334,r396068
r132343,r140848
r132343,r406933
r132349,r962415
r132351,r496730
r132404,r538584
r132451,r170260
r132456,r225257
r132468,r140671
r132473,r494423
r132555,r683918
r132555,r764057
r132572,r154838
r132572,r166957
r132587,r112375
r132729,r461630
r132729,r988832
r132753,r424922
r132753,r539333
r132753,r657520
r132759,r285248
r132759,r702999
r132763,r221241
r132763,r994169
r132778,r430321
r132802,r327903
r132827,r172565
r132827,r182081
r132827,r238491
r132827,r539999
r132827,r589207
r132836,r199128
r132902,r248689
r132983,r344783
r132996,r901979
r133002,r951923
r133069,r110857
r133069,r857943
r133147,r123029
r133156,r382832
r133179,r738865
r133198,r202118
r133236,r457712
r133254,r827039
r133297,r903861
r133366,r168233
r133381,r178797
r133420,r407196
r133468,r450172
r133483,r776083
r133511,r173958
r133520,r694155
r133520,r706267
r133520,r743245
r133558,r228775
r133575,r286246
r133715,r633880
r133743,r300762
r133791,r669694
r133826,r128323
r133826,r246886
r133826,r317480
r133826,r321814
r133826,r499271
r133826,r825532
r133839,r352986
r133861,r900497
r133995,r125192
r134016,r421010
r134046,r667905
r134065,r896785
r134121,r113687
r134121,r267901
r134121,r445213
r134121,r491636
r134121,r857943
r134121,r987684
r134149,r161778
r134167,r729076
r134184,r474533
r134184,r559501
r134223,r104026
r134223,r832644
r134228,r411794
r134272,r567692
r134272,r790418
r134276,r601414
r134295,r550306
r134305,r225989
r134305,r415882
r134348,r700939
r134354,r303311
r134354,r913896
r134364,r368949
r134380,r646556
r134385,r404849
r134412,r772143
r134467,r103592
r134467,r183147
r134467,r385680
r134467,r753509
r134467,r767078
r134467,r846450
r134490,r538010
r134490,r622011
r134501,r893680
r134519,r764706
r134519,r857367
r134578,r423146
r134611,r447322
r134633,r376381
r134633,r858756
r134639,r483892
r134639,r772602
r134657,r102263
r134657,r494656
r134719,r395015
r134751,r299562
r134768,r253335
r134768,r877461
r134813,r996224
r134823,r896896
r134882,r875643
r134909,r393875
r134919,r359819
r134919,r839372
r134919,r872136
r134919,r895557
r134929,r295265
r134929,r380643
r134998,r635868
r134998,r782663
r134998,r798444
r135002,r857887
r135004,r204656
r135048,r587772
r135067,r613075
r135077,r159460
r135077,r654501
r135111,r131061
r135121,r980599
r135122,r785383
r135155,r428177
r135155,r673513
r135165,r611673
r135167,r224832
r135167,r732117
r135177,r556502
r135193,r123321
r135255,r863595
r135256,r199447
r135271,r190486
r135285,r983369
r135320,r825856
r135359,r355466
r135430,r110670
r135430,r210540
r135430,r812961
r135502,r161746
r135502,r535994
r135550,r584877
r135684,r344835
r135684,r560994
r135684,r699403
r135684,r770404
r135691,r228549
r135691,r882772
r135706,r298814
r135706,r411329
r135706,r459287
r135706,r496723
r135706,r993854
r135732,r714077
r135747,r557102
r135856,r114768
r135882,r198018
r135910,r321735
r135910,r576702
r135910,r615934
r135910,r910791
r135930,r406552
r136055,r488724
r136056,r932947
r136087,r322017
r136087,r512126
r136092,r260146
r136175,r305728
r136228,r809465
r136229,r526133
r136297,r156913
r136297,r700235
r136308,r291316
r136332,r524393
r136332,r789087
r136332,r949356
r136359,r220428
r136359,r429139
r136359,r847435
r136606,r222289
r136610,r408905
r136624,r101658
r136673,r644876
r136681,r321520
r136692,r821482
r136694,r733401
r136694,r790604
r136723,r594214
r136723,r842648
r136729,r479374
r136745,r835668
r136794,r365473
r136794,r589587
r136794,r708383
r136806,r737455
r136836,r675841
r136836,r821267
r136855,r745949
r136855,r882786
